"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"44","Other",60,"Yes","Female","Right",5,"US",3,5,5,5,5,5,5,5,5,5,4,2,1,1,1,4,1,4,5,5,1,1,5,1,5,2,1,2,5,5,1,1,1,2,1,5,1,5,1,2,4,4,4,4,5,5,5,2,5,5
"45","European",27,"Yes","Female","Right",2,"CA",1,3,4,1,3,3,3,1,1,1,2,2,1,3,2,5,2,4,3,4,1,1,1,1,1,1,1,1,5,5,1,4,2,3,4,2,3,4,2,2,4,3,5,2,3,5,5,4,5,2
"46","European",19,"Yes","Female","Right",2,"US",4,4,4,3,5,4,5,4,5,3,1,2,2,2,2,3,3,3,3,4,1,2,2,2,2,3,1,3,5,4,1,3,3,3,2,3,1,5,1,1,5,4,4,4,5,5,4,4,4,5
"47","European",20,"Yes","Male","Right",1,"US",1,1,2,1,2,3,1,2,2,1,3,4,3,3,4,2,4,2,4,3,4,3,4,4,3,4,4,3,3,3,3,3,2,2,4,3,3,3,4,2,4,3,5,3,3,4,3,3,4,3
"48","Indian",19,"Yes","Male","Right",1,"IN",2,3,5,4,5,4,3,4,5,5,5,2,4,3,5,1,5,1,1,3,5,1,1,2,1,2,2,2,4,5,1,1,1,1,1,5,2,5,1,1,4,4,3,5,4,5,5,1,5,4
"49","Other",26,"No","Female","Right",1,"US",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,5,4,5,4,3,1,2,3,1,2,2,4,3,5,4,4,5,5,1,3,1,3,4,5,4,5,5,4,5,2,5,5,4
"50","North African and Other",24,"No","Male","Right",1,"MX",1,4,3,1,4,5,1,3,4,2,2,3,1,3,2,4,2,4,5,3,4,3,5,2,1,1,3,3,3,2,2,5,2,4,5,2,3,2,4,3,4,4,5,4,5,3,5,4,4,5
"51","European",19,"Yes","Female","Left",1,"US",1,2,2,2,1,4,1,2,2,1,1,2,1,2,4,4,1,4,3,3,2,2,3,1,2,2,2,3,4,2,2,3,1,4,4,2,1,4,2,2,4,3,4,3,3,4,4,3,4,4
"52","European",18,"Yes","Female","Right",5,"GB",2,3,2,1,2,5,1,3,5,1,1,2,1,2,1,5,1,5,5,5,3,4,3,4,3,1,3,3,3,3,5,5,3,5,3,1,3,1,4,2,5,3,5,2,5,5,4,5,5,5
"53","European",14,"Yes","Female","Right",1,"US",2,4,2,4,4,5,2,4,2,2,2,3,2,2,3,5,2,4,4,2,4,2,4,4,2,3,1,3,3,2,4,3,1,3,5,1,4,3,4,3,5,4,4,4,4,4,3,4,5,5
"54","Other",25,"No","Female","Right",1,"IN",2,5,4,4,4,5,1,2,2,3,1,3,4,2,4,2,5,1,2,2,1,1,1,1,2,2,1,4,5,5,1,1,2,1,1,5,4,5,2,2,3,4,1,4,2,5,4,1,4,4
"55","European",47,"Yes","Male","Right",1,"US",4,5,3,5,2,5,4,2,4,2,2,3,2,3,4,3,2,3,3,3,2,1,2,4,5,2,3,3,1,3,1,4,2,1,3,5,1,5,2,2,5,5,4,5,5,5,4,5,3,5
"56","European",18,"Yes","Male","Right",5,"US",2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,4,3,3,4,4,2,4,2,2,3,4,4,4,4,3,3,4,3,3,4,3,3,2,4,2,4,2,4,2,3,3,4,3,4,3
"57","European",23,"No","Male","Left",1,"SE",2,5,4,4,2,2,5,1,2,1,1,2,1,3,1,5,1,4,4,4,4,2,4,4,3,1,1,2,1,3,2,3,1,3,5,3,2,3,1,3,3,3,5,2,4,5,3,4,4,4
"58","European",14,"Yes","Other","Right",1,"GB",2,4,2,4,2,5,1,4,4,2,1,3,2,2,2,3,2,3,4,3,1,2,2,3,1,2,1,4,2,2,4,4,3,4,5,1,3,1,4,3,4,4,3,4,3,4,4,4,2,2
"59","European",20,"Yes","Female","Right",1,"US",1,2,2,1,1,4,1,1,1,1,1,2,1,2,2,4,4,2,4,2,1,1,1,1,1,2,1,2,5,3,2,2,4,2,4,5,2,4,2,4,5,5,5,3,4,5,5,4,5,4
"60","Middle East",35,"Yes","Female","Left",1,"US",4,5,5,3,5,5,1,5,4,5,1,2,1,4,2,5,4,2,4,2,1,1,1,1,1,1,1,3,5,5,4,1,1,4,5,5,1,4,1,3,5,5,5,2,5,5,5,5,2,5
"61","European",34,"Yes","Female","Right",1,"US",4,5,4,4,5,4,5,4,4,4,4,3,2,2,4,3,2,2,2,3,1,1,2,1,1,1,1,1,4,4,2,2,2,1,2,5,1,5,2,2,3,4,4,5,3,4,3,3,5,3
"62","Other",36,"No","Female","Right",1,"JO",5,1,5,1,5,1,5,4,5,5,1,1,1,5,1,5,1,5,5,2,5,1,5,1,1,1,1,1,5,5,2,5,1,1,2,1,1,5,4,1,1,1,5,4,5,5,2,1,5,3
"63","European",15,"Yes","Male","Right",1,"US",3,3,3,1,2,3,3,2,4,2,2,4,2,2,3,4,2,4,4,4,3,2,4,2,3,3,3,3,3,2,3,4,2,4,5,1,2,2,4,3,4,1,5,3,3,4,2,4,4,4
"64","European",20,"Yes","Male","Right",1,"US",4,3,4,4,4,4,4,4,4,4,5,5,4,3,4,2,4,2,2,2,1,1,1,1,5,1,1,1,5,4,2,5,1,2,5,1,2,3,3,2,5,5,3,5,4,3,4,3,5,4
"65","European",54,"Yes","Female","Right",1,"CA",2,3,4,3,2,4,2,2,2,2,3,4,3,5,5,1,5,1,2,1,2,3,1,3,3,2,3,2,3,5,2,2,1,1,1,1,2,5,2,1,3,3,5,4,5,5,4,2,4,5
"66","European",47,"No","Male","Right",5,"US",2,2,5,4,4,2,4,4,2,3,3,3,2,2,2,2,2,1,2,2,4,2,1,1,1,1,2,1,4,4,4,2,3,4,4,2,3,4,4,3,3,4,4,4,5,4,5,2,5,4
"67","Indian",17,"No","Male","Right",1,"IN",3,1,4,2,3,2,2,1,4,1,1,4,1,3,2,5,1,5,4,4,4,1,4,1,2,1,4,1,5,5,3,2,1,5,4,2,3,3,3,2,3,3,5,3,3,2,3,4,5,3
"68","South East Asian",45,"No","Male","Right",1,"US",4,2,4,4,3,4,4,2,5,3,4,4,2,4,5,2,5,1,2,2,1,3,1,1,2,1,2,1,5,5,2,1,1,1,1,5,1,5,1,1,4,5,4,5,5,2,5,1,5,3
"69","European",32,"Yes","Female","Right",2,"US",2,4,5,4,4,3,2,1,1,4,1,1,1,2,2,4,1,5,4,4,1,2,3,2,1,2,2,1,4,2,2,1,1,1,2,1,1,3,1,1,4,2,2,4,3,4,4,4,2,2
"70","European",23,"No","Female","Right",2,"NO",3,5,5,4,5,5,3,3,3,4,3,4,2,3,3,3,2,3,3,3,1,1,2,1,1,4,1,1,5,4,4,4,2,2,3,2,4,3,5,2,3,4,4,5,4,3,4,4,5,3
"71","South East Asian",23,"Yes","Female","Right",1,"US",4,5,4,4,4,5,2,4,5,2,2,2,1,5,5,2,4,1,1,1,2,1,1,1,2,2,1,3,4,5,3,3,2,2,4,3,3,4,3,2,3,4,4,4,4,5,4,3,2,4
"72","European",14,"Yes","Female","Right",1,"US",1,4,2,1,4,5,1,4,2,1,1,1,1,1,1,5,1,3,5,5,1,3,1,1,2,1,2,2,4,3,2,3,3,4,3,2,1,4,1,2,4,4,5,4,2,5,4,5,4,5
"73","European",19,"Yes","Male","Right",1,"IE",5,4,2,3,2,4,5,1,3,1,2,5,1,2,2,3,3,2,3,3,3,2,3,1,2,2,1,2,4,3,3,5,3,3,5,1,2,2,4,4,4,5,5,5,4,5,5,4,5,4
"74","European",15,"Yes","Female","Right",1,"NZ",1,2,2,2,3,1,3,1,2,1,1,3,1,3,4,5,1,5,4,1,2,1,1,1,1,3,1,2,4,3,3,5,3,5,5,1,3,3,3,2,2,3,4,4,4,3,3,3,5,3
"75","European",49,"No","Female","Right",1,"FI",3,4,4,2,5,4,4,2,2,4,2,4,2,4,3,2,4,2,4,2,3,2,2,2,4,2,2,3,3,4,4,5,3,4,5,1,3,2,4,4,5,5,4,5,4,4,5,5,5,4
"76","Middle East",47,"Yes","Female","Left",2,"US",1,1,2,1,1,1,1,2,2,1,1,2,3,1,4,4,3,3,2,5,2,2,1,2,2,1,1,2,4,5,3,4,1,2,5,2,2,5,3,1,3,3,5,4,5,5,5,3,5,5
"77","European",23,"No","Female","Right",2,"BE",3,2,4,3,4,5,1,1,1,1,1,4,1,3,2,5,3,1,5,3,1,1,1,1,1,1,1,3,5,5,2,4,1,1,5,4,2,5,3,2,5,2,3,2,2,4,4,4,4,3
"78","European",19,"No","Female","Right",1,"FI",1,1,2,1,2,4,1,1,1,2,1,1,1,1,1,4,4,2,4,5,3,4,5,4,3,3,4,4,2,2,2,2,1,3,4,4,2,2,2,2,4,3,5,3,4,5,4,4,4,4
"79","European",36,"Yes","Male","Right",1,"US",3,4,1,3,5,4,1,1,2,1,2,3,1,3,2,3,3,3,5,3,1,1,4,2,1,2,2,1,4,3,1,2,2,2,2,5,1,5,1,1,5,2,3,4,4,3,4,5,4,4
"80","European",21,"Yes","Female","Right",1,"GB",2,3,4,4,4,5,4,2,4,2,1,1,1,1,5,5,1,4,3,5,1,1,2,1,1,2,1,1,5,3,2,5,4,5,4,1,2,3,4,3,4,4,5,4,4,5,5,4,5,4
"81","European",21,"No","Female","Right",1,"BE",3,5,3,5,5,5,1,4,3,1,1,1,1,2,2,5,2,4,5,5,1,1,5,1,1,3,1,1,5,3,3,5,1,5,5,1,2,5,1,1,5,5,5,5,4,5,5,5,5,5
"82","European",13,"Yes","Male","Right",1,"GB",3,2,3,3,3,1,2,1,3,2,1,4,1,1,2,5,1,5,5,5,2,4,4,3,2,3,4,3,3,4,3,3,2,4,3,2,3,3,3,3,4,5,4,5,2,4,4,4,5,3
"83","Other",21,"No","Female","Right",5,"US",3,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,2,1,2,2,4,4,3,1,2,1,2,5,1,3,3,3,2,4,4,3,4,3,4,2,3,4
"84","European",32,"No","Male","Right",1,"HR",4,4,5,3,5,5,4,5,5,5,5,3,3,3,4,1,5,1,1,2,3,2,2,2,1,2,2,2,4,5,1,1,1,2,3,5,4,4,1,3,5,4,3,3,3,5,5,2,3,3
"85","European",33,"Yes","Female","Right",1,"US",4,5,5,4,5,5,5,5,5,4,3,4,2,3,4,3,4,3,3,2,1,1,1,1,1,2,1,5,5,5,3,2,2,2,2,5,2,5,2,3,4,4,5,4,5,5,5,4,4,5
"86","European",33,"Yes","Male","Right",1,"US",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,2,2,2,2,2,2,4,2,3,2,2,2,4,2,4,2,2,4,4,4,3,4,4,4,4,4,4
"87","European",16,"Yes","Male","Right",1,"GB",2,4,2,3,2,4,5,3,3,1,3,3,2,1,4,4,3,3,4,5,4,3,4,2,3,2,4,3,3,2,4,2,3,4,3,3,2,2,3,3,5,4,5,4,2,5,4,3,4,3
"88","European",21,"No","Female","Right",1,"BE",3,4,2,4,4,3,4,2,4,2,2,3,1,2,4,3,2,4,3,4,3,5,1,2,3,3,4,3,4,4,3,3,1,3,4,1,2,3,4,2,4,5,5,5,4,5,5,4,4,4
"89","European",31,"No","Female","Right",5,"NO",3,3,5,4,5,5,2,3,3,4,5,5,4,1,5,2,5,1,3,3,1,3,1,2,2,3,2,3,3,3,3,1,4,1,1,4,2,3,4,2,3,2,3,3,3,2,5,1,4,5
"90","European",17,"Yes","Male","Right",1,"US",1,1,1,1,1,2,1,1,3,1,2,3,1,1,2,3,5,1,1,1,1,1,1,1,1,3,1,1,4,4,5,4,1,1,5,1,5,3,5,3,5,5,5,5,5,5,4,5,5,5
"91","European",26,"Yes","Female","Right",5,"GB",2,3,3,3,3,4,2,3,2,1,3,3,3,3,3,3,3,2,3,2,1,2,2,1,1,2,2,3,4,4,3,2,2,3,2,4,1,3,2,2,5,4,2,4,2,2,4,4,4,2
"92","European",34,"No","Male","Right",1,"BE",4,4,3,4,4,5,2,3,3,3,1,4,1,1,2,4,3,3,3,5,1,1,1,1,1,1,1,1,5,5,2,5,1,3,5,2,4,4,2,1,5,5,5,5,5,5,5,5,5,5
"93","Mixed",21,"Yes","Female","Right",1,"ZA",1,5,5,3,5,5,1,1,1,3,5,3,3,1,5,1,5,1,1,1,1,1,1,3,1,3,1,1,3,3,1,1,1,1,1,5,1,5,1,1,3,5,4,5,4,1,5,2,5,4
"94","European",26,"No","Female","Right",2,"US",5,3,5,4,3,5,5,4,4,2,5,5,5,5,1,1,4,2,5,1,4,1,1,4,4,2,2,1,4,4,2,3,2,3,2,3,3,3,2,2,4,4,4,4,4,5,5,3,4,4
"95","European",22,"No","Female","Right",1,"NO",2,3,3,2,4,4,3,4,4,2,5,4,4,4,5,1,4,1,1,1,2,3,4,3,3,3,3,2,2,5,1,5,2,3,4,4,3,3,4,3,5,3,4,2,4,4,3,4,4,3
"96","European",19,"No","Female","Right",1,"NO",1,2,2,4,2,3,1,3,2,1,1,2,1,1,2,4,2,4,3,5,1,2,2,1,2,1,1,3,4,3,4,2,2,3,4,3,2,4,4,4,4,3,4,5,1,4,3,3,4,3
"97","European",19,"No","Male","Right",1,"FI",4,2,2,2,2,2,2,1,1,2,4,4,4,3,3,3,2,3,4,3,3,2,5,2,3,3,3,2,3,3,3,3,3,5,5,2,5,3,4,4,4,4,4,4,3,4,4,4,4,3
"98","Mixed",21,"Yes","Female","Right",1,"US",4,5,5,5,5,5,5,1,3,1,3,4,3,3,4,4,2,2,4,2,2,1,3,1,1,3,1,1,5,4,3,5,2,4,5,2,3,4,3,2,4,5,5,5,5,5,5,4,5,5
"99","European",49,"No","Male","Right",1,"BE",3,5,5,3,4,5,4,4,4,4,3,5,3,1,4,1,5,1,1,1,1,1,1,2,1,3,1,1,4,5,2,3,1,1,1,5,2,3,1,1,5,5,4,5,4,5,4,2,5,5
"100","European",18,"Yes","Female","Right",1,"US",3,3,4,2,5,4,5,2,3,2,2,3,2,2,4,3,3,2,2,3,2,1,2,1,2,1,2,1,5,5,2,2,1,2,2,3,2,4,2,2,3,5,5,5,5,5,5,3,5,5
"101","European",32,"Yes","Female","Right",4,"US",1,3,2,2,1,5,1,2,3,2,2,3,2,3,2,4,2,4,4,2,3,3,2,2,1,1,1,2,4,3,2,3,3,4,5,2,5,4,2,4,2,3,3,3,4,2,4,2,3,2
"102","European",60,"Yes","Female","Right",1,"US",1,2,5,3,5,3,3,1,1,2,2,3,2,1,1,4,4,2,4,2,1,1,1,1,1,2,1,1,5,5,4,4,1,4,5,5,1,5,1,1,5,5,5,5,5,5,5,5,5,5
"103","European",22,"Yes","Female","Right",1,"IE",1,3,2,2,3,4,1,2,2,2,1,2,1,1,2,5,2,4,3,4,1,2,4,2,1,1,2,2,5,5,4,4,2,3,5,1,3,3,4,3,5,3,5,3,3,5,5,5,4,3
"104","European",24,"Yes","Male","Right",1,"PL",1,1,1,1,2,1,1,1,1,1,4,5,4,3,4,2,4,3,1,3,1,4,1,5,1,4,5,3,1,3,2,1,2,1,4,4,1,3,2,2,4,5,3,2,3,5,5,4,2,4
"105","North African and Other",16,"No","Female","Left",1,"BR",2,4,3,3,3,5,2,4,2,1,3,4,2,4,5,2,4,2,2,2,1,1,2,1,3,1,1,2,3,3,3,2,3,4,4,2,1,3,2,1,4,5,4,5,4,5,4,2,5,5
"106","European",20,"No","Male","Right",1,"SK",2,2,2,3,3,4,2,2,4,2,2,3,2,2,3,3,2,4,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,4,2,4,2,4,2,4,5,4,5,4,5,4,3,4,4
"107","Mixed",47,"Yes","Female","Right",2,"US",3,4,3,3,3,3,2,4,2,3,4,3,3,3,4,2,4,2,2,2,1,2,1,2,2,2,2,3,4,4,4,2,3,2,3,4,3,4,3,3,3,4,4,4,5,5,4,2,3,4
"108","European",15,"Yes","Female","Right",1,"US",2,5,2,4,3,4,2,1,2,2,1,4,2,2,1,2,2,4,5,3,2,3,5,3,2,3,2,3,3,3,2,5,2,4,5,2,4,2,2,3,3,4,3,3,2,3,5,4,4,3
"109","Other",17,"Yes","Female","Right",1,"US",1,3,3,1,3,1,1,1,1,1,2,5,1,1,4,3,1,4,4,4,4,4,1,4,4,2,3,4,2,3,3,5,2,1,5,5,3,3,5,4,1,5,3,1,1,1,3,1,5,1
"110","Other",13,"Yes","Female","Both",1,"US",5,5,5,1,5,5,5,5,5,5,5,1,5,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,5,5,1,5,1,1,1,5,1,5,1,1,5,5,5,5,5,5,5,5,1,5
